id,app,feature,subject,predicate,object
2a0aa188-eb8d-4913-91ab-603bc54ac0af,Zoho Commerce,Win trust with site security,customer,has,confidential data  
2a0aa188-eb8d-4913-91ab-603bc54ac0af,Zoho Commerce,Win trust with site security,confidential data,includes,credit card details  
2a0aa188-eb8d-4913-91ab-603bc54ac0af,Zoho Commerce,Win trust with site security,confidential data,includes,addresses  
2a0aa188-eb8d-4913-91ab-603bc54ac0af,Zoho Commerce,Win trust with site security,SSL certificates,secure,confidential data  
2a0aa188-eb8d-4913-91ab-603bc54ac0af,Zoho Commerce,Win trust with site security,installation of SSL certificates,requires,click of a button
7974edd7-e1de-4fbb-a792-b6b9458e89e0,Zoho Commerce,Take your site live instantly,subdomain, is available from, Zoho  
7974edd7-e1de-4fbb-a792-b6b9458e89e0,Zoho Commerce,Take your site live instantly,user, can map, existing domain  
7974edd7-e1de-4fbb-a792-b6b9458e89e0,Zoho Commerce,Take your site live instantly,user, can buy, new domain  
7974edd7-e1de-4fbb-a792-b6b9458e89e0,Zoho Commerce,Take your site live instantly,process, is, effortless  
7974edd7-e1de-4fbb-a792-b6b9458e89e0,Zoho Commerce,Take your site live instantly,user, can add, multiple domains  
7974edd7-e1de-4fbb-a792-b6b9458e89e0,Zoho Commerce,Take your site live instantly,domains, are based on, user convenience
7b27f169-ed55-4575-88a6-bbf99bf48168,Zoho Commerce,Hosting & storage built-in,Keep your website, up and running, all the time  
7b27f169-ed55-4575-88a6-bbf99bf48168,Zoho Commerce,Hosting & storage built-in,Zoho, offers, unmetered bandwidth  
7b27f169-ed55-4575-88a6-bbf99bf48168,Zoho Commerce,Hosting & storage built-in,Zoho, offers, file storage  
7b27f169-ed55-4575-88a6-bbf99bf48168,Zoho Commerce,Hosting & storage built-in,Unmetered bandwidth and file storage, suit, every business requirement
dd2aee3e-1f21-4ed5-b78b-f54c1534979d,Zoho Commerce,Customizable layouts,Zoho Commerce,has,plenty of customizable layouts and themes  
dd2aee3e-1f21-4ed5-b78b-f54c1534979d,Zoho Commerce,Customizable layouts,Customizable layouts and themes,fit,design choices and business aesthetic  
dd2aee3e-1f21-4ed5-b78b-f54c1534979d,Zoho Commerce,Customizable layouts,Uncluttered layouts and seamless transitions,create,a memorable experience for customers
01be1e05-bd55-4d02-a24c-3ca84e5b8a2d,Zoho Commerce,Designed for every industry,"Health & Beauty Fashion & Clothing or Food & Drink ecommerce business", run, Zoho Commerce themes  
01be1e05-bd55-4d02-a24c-3ca84e5b8a2d,Zoho Commerce,Designed for every industry,Zoho Commerce themes, are created to fit, business needs  
01be1e05-bd55-4d02-a24c-3ca84e5b8a2d,Zoho Commerce,Designed for every industry,Business, choose, themes of choice
c773d41f-e281-4a08-a21c-3dd78492bda3,Zoho Commerce,SEO and mobile-ready,Our themes,are,customizable  
c773d41f-e281-4a08-a21c-3dd78492bda3,Zoho Commerce,SEO and mobile-ready,Our themes,are,mobile responsive  
c773d41f-e281-4a08-a21c-3dd78492bda3,Zoho Commerce,SEO and mobile-ready,Our themes,are,SEO-friendly  
c773d41f-e281-4a08-a21c-3dd78492bda3,Zoho Commerce,SEO and mobile-ready,Each theme,can be changed later,without losing any of your content
6e1b4ddc-d61d-489e-88fc-b26d7752fd06,Zoho Commerce,Stylize your storefront,storefront,take charge,every element and section  
6e1b4ddc-d61d-489e-88fc-b26d7752fd06,Zoho Commerce,Stylize your storefront,icons,change color,icons  
6e1b4ddc-d61d-489e-88fc-b26d7752fd06,Zoho Commerce,Stylize your storefront,columns,increase width,columns  
6e1b4ddc-d61d-489e-88fc-b26d7752fd06,Zoho Commerce,Stylize your storefront,banners,customize size,banners
c328ed8c-7491-423b-8fa5-8b5dca686cdf,Zoho Commerce,Embed custom scripts,Scale your business, by embedding, third-party widgets and scripts  
c328ed8c-7491-423b-8fa5-8b5dca686cdf,Zoho Commerce,Embed custom scripts,Insert snippets, to apply, reoccurring customizations
04c7e864-b8e1-4b0c-8491-bdaaae208b71,Zoho Commerce,Add photosets,photosets, create, compelling photosets  
04c7e864-b8e1-4b0c-8491-bdaaae208b71,Zoho Commerce,Add photosets,images, add, relevant images  
04c7e864-b8e1-4b0c-8491-bdaaae208b71,Zoho Commerce,Add photosets,photoset, embellish, photoset  
04c7e864-b8e1-4b0c-8491-bdaaae208b71,Zoho Commerce,Add photosets,captions, add, captions  
04c7e864-b8e1-4b0c-8491-bdaaae208b71,Zoho Commerce,Add photosets,theme, manage, theme
362fca71-e549-4e87-afa7-1913861d7cc9,Zoho Commerce,Forms,Add forms,into,your storefront  
362fca71-e549-4e87-afa7-1913861d7cc9,Zoho Commerce,Forms,Meet,your audience,by adding name and email fields  
362fca71-e549-4e87-afa7-1913861d7cc9,Zoho Commerce,Forms,Redirect,them,to a page of your choice upon submission
3e5118b9-7ae6-4354-b2f3-1578debf4af2,Zoho Commerce,Menus,Organize,your store,better  
3e5118b9-7ae6-4354-b2f3-1578debf4af2,Zoho Commerce,Menus,Create,menu items,by organizing your store  
3e5118b9-7ae6-4354-b2f3-1578debf4af2,Zoho Commerce,Menus,Add,pages,as menu items  
3e5118b9-7ae6-4354-b2f3-1578debf4af2,Zoho Commerce,Menus,Add,links,as menu items  
3e5118b9-7ae6-4354-b2f3-1578debf4af2,Zoho Commerce,Menus,Add,products,as menu items  
3e5118b9-7ae6-4354-b2f3-1578debf4af2,Zoho Commerce,Menus,Add,categories,as menu items  
3e5118b9-7ae6-4354-b2f3-1578debf4af2,Zoho Commerce,Menus,Add,collections,as menu items  
3e5118b9-7ae6-4354-b2f3-1578debf4af2,Zoho Commerce,Menus,Rearrange,existing menus,with ease  
3e5118b9-7ae6-4354-b2f3-1578debf4af2,Zoho Commerce,Menus,Rearrange,existing menus,via drag-and-drop
0d82b796-d6e5-4abd-8060-311babb268cc,Zoho Commerce,Presets,existing color schemes, use, storefront  
0d82b796-d6e5-4abd-8060-311babb268cc,Zoho Commerce,Presets,custom colors, add, storefront  
0d82b796-d6e5-4abd-8060-311babb268cc,Zoho Commerce,Presets,base and heading fonts, change, brand
a0f4ed91-3283-4f45-877c-2be20e4392cd,Zoho Commerce,Modify header style,header styles,apply,various styles  
a0f4ed91-3283-4f45-877c-2be20e4392cd,Zoho Commerce,Modify header style,customers,delight,transparent or animated header
2b46e67f-4fda-4b3e-b2da-173b131f41ee,Zoho Commerce,Add compelling banner layouts,layout,has,breathing space  
