entity1,entity2,similarity
create email template,create template email,0.9884884434073729
send rfqs,sending rfqs,0.9869822954711324
custom quotation template,design custom quotation template,0.9851361873331342
partial wholesale number,wholesale partial number,0.9850872665430517
web store,web store store,0.9848843505481151
email template,template email,0.9838777327253383
detail inwards,inward detail,0.983610040323877
specific storage location,storage location,0.9817671064064316
lead source,source lead,0.9816918472441178
product sold,sold product,0.9815898390434287
action taken informing customer deficiency product,informing customer deficiency product,0.9806392926756975
integrate,integration,0.9795063268167536
ensuring seamless switch one task next,seamless switch one task next,0.9790390749094519
create custom route,custom route,0.9778821391320291
using access key,using provided access key,0.977626327398349
accounting category,specify accounting category,0.9763205547704571
current price detail,current price detail found,0.9761768452694963
contract creation date,new contract creation date,0.9760152767159345
manage multiple cashier account,multiple cashier account,0.9759306149597582
sale assistant error missing data,sale assistant missing invalid data,0.9758713761425721
name product,product name,0.9743686642720314
barcode,barcodes,0.9739944144898465
detailed report customer information,produce detailed report customer information,0.9738061845583007
product wholesale order,wholesale order,0.9728053271935961
build dashboard,building dashboard,0.9727585741945335
configure multiple barcodes,multiple barcodes,0.9718757663670927
exact wholesale number,wholesale number,0.9696941068494503
quantity existing product,quantity new product,0.9691170286194544
access key,using access key,0.969064014473574
common communication customer opportunity,communication customer opportunity,0.9687656309362132
choose product removal strategy,product removal strategy,0.9672307632804438
delivery purpose,purpose delivery,0.9663540231737066
user action,user action taken,0.9658250345476848
incoterms directly invoice,incoterms invoice,0.9658096842505894
inventory management,modern inventory management,0.9654441496825042
automatic update,automatically updated,0.96499185658398
odoos mobile interface,odoos mobilefriendly interface,0.9649840169644572
visualization,visualize,0.9645585587685037
new retail,product new retail,0.9642855865295559
specific period time,specific time period,0.9637906801054495
payment detail,payment information,0.9632283131260149
reference used supplier,supplier reference,0.963158857108023
local po inventory,local po inventory online inventory,0.9626753872518667
create dial queue,dial queue,0.9626376054698016
date range,specified date range,0.9624607410221846
id card number unique,updated id card number unique,0.9618906264065838
customer database,customer information database,0.9616588206335777
retail delivery,retail delivery product,0.9605729445505851
create coupon,create custom coupon,0.9591452974650209
consumable,consumables,0.9591056303713336
create template email,template email,0.9587478743275983
update product detail,updated product detail,0.9584297031182565
