"source_id","option_id","source","option"
"009a2bef-0070-4f06-8a4e-dc306b17b7c2","2435debf-b31d-4219-87cb-7f18e8889b22","The system shall generate a detailed report of all customers' payment statuses for the specified time period, including the total amount purchased, total payments made, and the current outstanding debt.","The system's report shall present a clear and organized customer list, highlighting each customer's total purchases, payments, and debts within the selected timeframe."
"009a2bef-0070-4f06-8a4e-dc306b17b7c2",fb944c0d-4c35-4d79-8f71-e919968f3ed7,"The system shall generate a detailed report of all customers' payment statuses for the specified time period, including the total amount purchased, total payments made, and the current outstanding debt.",The system shall generate a report listing customers' names and prices for a specified sold product within the entered time period or date.
"009a2bef-0070-4f06-8a4e-dc306b17b7c2",d3f541d3-025e-49af-8902-5076dea80779,"The system shall generate a detailed report of all customers' payment statuses for the specified time period, including the total amount purchased, total payments made, and the current outstanding debt.",The system shall generate a detailed report of payment listings for retail transactions for the specified period when accessed by the Sales-Assistant.
"009a2bef-0070-4f06-8a4e-dc306b17b7c2",c9ac41e4-c869-4324-a65a-72cb37293a89,"The system shall generate a detailed report of all customers' payment statuses for the specified time period, including the total amount purchased, total payments made, and the current outstanding debt.",The system shall generate a detailed report of payment listings for contract sales for the specified period when accessed by the Sales-Assistant.
"009a2bef-0070-4f06-8a4e-dc306b17b7c2",fa03c467-61f4-45ef-b6ef-db4a3cdfc9a8,"The system shall generate a detailed report of all customers' payment statuses for the specified time period, including the total amount purchased, total payments made, and the current outstanding debt.",The system shall generate a detailed report of payment listings for wholesale transactions for the specified period when accessed by the Sales-Assistant.
"01379659-6e85-4055-a25b-c57056cbe842","535a65fa-a781-4c74-94fd-fc6483bff43c",The system must verify that the product associated with the coupon is available in stock before applying the discount.,The system must verify that the coupon ID is valid and corresponds to an existing promotion in the system.
"01379659-6e85-4055-a25b-c57056cbe842","8159c6ea-895c-4164-8283-9168be94d1a5",The system must verify that the product associated with the coupon is available in stock before applying the discount.,The system must verify that the product's current stock amount is greater than or equal to one before proceeding with the stock deduction.
"01379659-6e85-4055-a25b-c57056cbe842","59254e66-eb0d-405a-bb2b-0f208eb66837",The system must verify that the product associated with the coupon is available in stock before applying the discount.,The system must allow the Sales Person to search for a product and verify its availability in the stock based on the customer’s request.
"01379659-6e85-4055-a25b-c57056cbe842",ac703f90-9dd4-4bd8-bd08-bafe5a749699,The system must verify that the product associated with the coupon is available in stock before applying the discount.,"After validating the coupon and checking the promotion's validity, the system must retrieve the discount rate associated with the promotion and apply it to the product's price."
"01379659-6e85-4055-a25b-c57056cbe842","7ffeeb21-366c-49e1-9d14-6cba725b94d8",The system must verify that the product associated with the coupon is available in stock before applying the discount.,"If the coupon is invalid, the promotion has expired, or the product is unavailable, the system must display an error message and prevent the discount from being applied."
"0143aef8-853a-437b-ab2c-57351aff104a","0a898e3f-78ca-4fd0-8e1b-a2d61e38d251","Real-time accounting records generated for a product from stock purchases, scraps, and other inventory actions.","Real-time accounting records generated for a product from stock purchases, scraps, and other inventory actions."
"0143aef8-853a-437b-ab2c-57351aff104a","85b9338c-0e0b-4922-8afe-edb9454ba980","Real-time accounting records generated for a product from stock purchases, scraps, and other inventory actions.","Keep track of stock, incoming orders and product availability."
"0143aef8-853a-437b-ab2c-57351aff104a","990b5f75-9b5f-4651-a2c1-5654d326548c","Real-time accounting records generated for a product from stock purchases, scraps, and other inventory actions.","The system must generate stock statement reports, summarizing the current stock levels for each product at each godown, with details about inwards, deliveries, and returns over the selected period."
"0143aef8-853a-437b-ab2c-57351aff104a",df3f21c3-52c2-4bd3-a819-3dd292fd38aa,"Real-time accounting records generated for a product from stock purchases, scraps, and other inventory actions.","Forecasted report of on-hand, incoming, and outgoing stock while operations are happening in real-time. Calculate out-of-stock dates for products based on customer orders, shipment dates, and manufacturing orders so you can swiftly react to vendor order deadlines and lead times."
"0143aef8-853a-437b-ab2c-57351aff104a","63b0ed3d-1a92-454f-bc50-06082aaa3a79","Real-time accounting records generated for a product from stock purchases, scraps, and other inventory actions.","Schedule recurring stock counts on vital storage locations, products, or lots to keep inventory up to date all the time."
"01be1e05-bd55-4d02-a24c-3ca84e5b8a2d",dd2aee3e-1f21-4ed5-b78b-f54c1534979d,"Whether you run a Health & Beauty, Fashion & Clothing, or Food & Drink ecommerce business, Zoho Commerce's themes are created to fit your business needs. From classy image sliders to fun background videos, choose the themes of your choice.",Zoho Commerce has plenty of customizable layouts and themes to fit your design choices and business aesthetic. Uncluttered layouts and seamless transitions create a memorable experience for your customers.
"01be1e05-bd55-4d02-a24c-3ca84e5b8a2d","3efbfde2-eb91-4b2c-95bc-af8abb0dcd19","Whether you run a Health & Beauty, Fashion & Clothing, or Food & Drink ecommerce business, Zoho Commerce's themes are created to fit your business needs. From classy image sliders to fun background videos, choose the themes of your choice.","Help shoppers discover your products on various Google surfaces like Google Search, Google Images, Google Shopping, and Google Lens by connecting your Zoho Commerce store with the Google Merchant Center."
"01be1e05-bd55-4d02-a24c-3ca84e5b8a2d",cdafbc8c-423a-4de1-8693-873a02b61159,"Whether you run a Health & Beauty, Fashion & Clothing, or Food & Drink ecommerce business, Zoho Commerce's themes are created to fit your business needs. From classy image sliders to fun background videos, choose the themes of your choice.","Sync your ecommerce store with Zoho Books to record all of your transactions. File taxes, prepare returns, automate tax calculations and monitor your accounting effortlessly."
"01be1e05-bd55-4d02-a24c-3ca84e5b8a2d",c773d41f-e281-4a08-a21c-3dd78492bda3,"Whether you run a Health & Beauty, Fashion & Clothing, or Food & Drink ecommerce business, Zoho Commerce's themes are created to fit your business needs. From classy image sliders to fun background videos, choose the themes of your choice.","Our themes are all customizable, mobile responsive, and SEO-friendly. Each theme can be changed later without losing any of your content."
"01be1e05-bd55-4d02-a24c-3ca84e5b8a2d",be8ec600-a1e1-48ce-9005-9171f599d3ea,"Whether you run a Health & Beauty, Fashion & Clothing, or Food & Drink ecommerce business, Zoho Commerce's themes are created to fit your business needs. From classy image sliders to fun background videos, choose the themes of your choice.",Clients are able to create and edit an online web store that is hosted on the system’s servers. This store have 5 or more themes for clients to choose from and clients may create more than one store. This web store is where a client’s customers can buy items and the client can edit their store
"03b19456-8ec4-4f61-868d-cbcbfb954531",cd2e6c72-c60e-412d-a9c5-e4fa3c7e43cc,The System holds all the details of the all the employees who are working in the organization.,"The system must display a list of all employees in a tabular format, showing key information such as employee name, ID, position, and department."
"03b19456-8ec4-4f61-868d-cbcbfb954531","474418fc-7c58-4487-882a-ed37b9ca7bc1",The System holds all the details of the all the employees who are working in the organization.,"The system must allow the administrator to easily add a new employee record to the database by filling out an input form with relevant employee details (e.g., name, position, department, etc.)."
"03b19456-8ec4-4f61-868d-cbcbfb954531","4c816ace-5d99-45be-9b2e-7a9c0620b460",The System holds all the details of the all the employees who are working in the organization.,It holds the details of all the godowns which are part of our organization.
"03b19456-8ec4-4f61-868d-cbcbfb954531",b27f05c1-4d77-41e0-a03a-4015b5bbaed8,The System holds all the details of the all the employees who are working in the organization.,It holds the details of all Product Stocks held in the warehouse of the company.
"03b19456-8ec4-4f61-868d-cbcbfb954531","4ee5cea4-e52d-45f1-a74e-4bbb6ee14ecb",The System holds all the details of the all the employees who are working in the organization.,The system must allow the administrator to select and edit the details of a specific employee from the displayed list.
"03fdedf8-3f1a-4c4e-b509-7735351fa10c","91970922-b6cc-49f4-be08-86b4195e5a62","Set predefined routes for return condition assessment, refurbishing, restocking, or disposal. When integrated with the Accounting app, the returned product's updated inventory valuation immediately hits your books.","Integrate with the Sales app to generate display return instructions, and printable barcode of the order and defined return location in the Customer Portal. Keeps the customer informed with timestamps and return status, right on the Customer Portal."
"03fdedf8-3f1a-4c4e-b509-7735351fa10c","6eb16217-4733-4de2-920e-e570748a669f","Set predefined routes for return condition assessment, refurbishing, restocking, or disposal. When integrated with the Accounting app, the returned product's updated inventory valuation immediately hits your books.","Automatically route products to ideal storage locations based on real-time capacity (storage categories), product storage needs, and picking accessibility."
"03fdedf8-3f1a-4c4e-b509-7735351fa10c","85b9338c-0e0b-4922-8afe-edb9454ba980","Set predefined routes for return condition assessment, refurbishing, restocking, or disposal. When integrated with the Accounting app, the returned product's updated inventory valuation immediately hits your books.","Keep track of stock, incoming orders and product availability."
"03fdedf8-3f1a-4c4e-b509-7735351fa10c","5d20748f-f686-49f2-9e79-7ef36402e42a","Set predefined routes for return condition assessment, refurbishing, restocking, or disposal. When integrated with the Accounting app, the returned product's updated inventory valuation immediately hits your books.","Manage pickups, packing, shipping, and return of rental products, directly in Inventory."
"03fdedf8-3f1a-4c4e-b509-7735351fa10c",eb504830-30f9-42e7-a153-089f64868d26,"Set predefined routes for return condition assessment, refurbishing, restocking, or disposal. When integrated with the Accounting app, the returned product's updated inventory valuation immediately hits your books.","Apply special shipping and restocking routes from order lines, such as “dropship” and “replenish on order.”"
"0457aa63-60bf-4857-9826-c153f3042fd3",e933337b-608f-445e-bc6b-f21643ca65d1,It allows the users to change their password for future security.,"It allows admin to manage two types of users, hold their details, authenticate these users at the time of login and accordingly provide different options."
"0457aa63-60bf-4857-9826-c153f3042fd3","4c262d53-4115-4327-895a-e417010f0998",It allows the users to change their password for future security.,It allows any user to logout when he wants to come out from the system.
"0457aa63-60bf-4857-9826-c153f3042fd3",e9312962-3077-48b7-8262-a2e15ab1929a,It allows the users to change their password for future security.,The system must provide fields for the user to input their username and password.
"0457aa63-60bf-4857-9826-c153f3042fd3",a5ce2127-8c6e-4d2f-9733-8ab4597fe020,It allows the users to change their password for future security.,The system must provide a functionality for the Sales Manager to define a unique username and secure password for the new employee.
"0457aa63-60bf-4857-9826-c153f3042fd3","5f860315-51af-4e8e-88f4-f32aab154bff",It allows the users to change their password for future security.,"The system must allow the administrator to add new users by filling out relevant user details (e.g., username, password, role) and assigning them the appropriate user category (Admin or Normal User)."
"04c7e864-b8e1-4b0c-8491-bdaaae208b71","47ecf680-59a1-4757-b56b-96dce364ea37",Create compelling photosets by adding relevant images under one group. Embellish your photoset by adding captions and managing its theme.,"You can manually add products to a collection or set up filter conditions based on product title, price, brand, and tags to automatically create one."
"04c7e864-b8e1-4b0c-8491-bdaaae208b71","3e5118b9-7ae6-4354-b2f3-1578debf4af2",Create compelling photosets by adding relevant images under one group. Embellish your photoset by adding captions and managing its theme.,"Organize your store better by creating menu items. Add pages, links, products, categories, and even collections as menu items. Rearrange the existing menus with ease via drag-and-drop."
"04c7e864-b8e1-4b0c-8491-bdaaae208b71","653c3bfd-f491-4d24-afcb-d646a31321ca",Create compelling photosets by adding relevant images under one group. Embellish your photoset by adding captions and managing its theme.,"Pick the font size, color, and layout style of your choice to enhance the overall presentation. Enable borders and make it stand out to your customers."
"04c7e864-b8e1-4b0c-8491-bdaaae208b71","8fad6507-7b75-4efe-8d72-5fce86f6887f",Create compelling photosets by adding relevant images under one group. Embellish your photoset by adding captions and managing its theme.,Offer different product bundles based on your business needs by grouping existing products into one composite product.
"04c7e864-b8e1-4b0c-8491-bdaaae208b71",be4fb186-24f2-477c-84d6-a3b9c9084a5e,Create compelling photosets by adding relevant images under one group. Embellish your photoset by adding captions and managing its theme.,Add detailed product specs and create specification sets for different products. Classify specifications according to different groups and categorize your specification fields.
"050483a7-494b-48be-a801-19fd95c25e40",f53b067b-418f-43a9-93ee-f73ba3d49c00,The system shall enable the Sales-Assistant to find the next product and continue adding products to the wholesale order until all desired products are included.,The system shall allow the Sales-Assistant to add the selected product to the wholesale order.
"050483a7-494b-48be-a801-19fd95c25e40","380f36b5-e847-4b2a-a3c4-de229bb4f192",The system shall enable the Sales-Assistant to find the next product and continue adding products to the wholesale order until all desired products are included.,The system shall allow the Sales-Assistant to continue finding and adding additional products to the contract until all products are included in the contract.
"050483a7-494b-48be-a801-19fd95c25e40",d67240ae-35d6-4e03-aa8c-992e73c67c85,The system shall enable the Sales-Assistant to find the next product and continue adding products to the wholesale order until all desired products are included.,The system shall support the Sales-Assistant in finding additional products and adding them to the same retail record consecutively.
"050483a7-494b-48be-a801-19fd95c25e40",f961e9b5-7646-4d59-b0d1-b0fe8e6e0f33,The system shall enable the Sales-Assistant to find the next product and continue adding products to the wholesale order until all desired products are included.,The system shall allow the Sales-Assistant to add multiple products to the same delivery until all desired products have been added.
"050483a7-494b-48be-a801-19fd95c25e40","492bc74d-7e7f-452b-a0ca-a27ff71d4a85",The system shall enable the Sales-Assistant to find the next product and continue adding products to the wholesale order until all desired products are included.,The system shall provide the capability for the Sales-Assistant to add additional products to the same delivery until the last product is entered.
"057d198d-f770-4683-9f34-fee32d840afb","2bc9b0a8-f491-471d-85d9-bfce4690383b",The system must allow the administrator to remove an employee record from the list and database as needed.,"The system must allow the administrator to delete a user from the list, permanently removing their record from the database."
"057d198d-f770-4683-9f34-fee32d840afb","4ee5cea4-e52d-45f1-a74e-4bbb6ee14ecb",The system must allow the administrator to remove an employee record from the list and database as needed.,The system must allow the administrator to select and edit the details of a specific employee from the displayed list.
"057d198d-f770-4683-9f34-fee32d840afb","474418fc-7c58-4487-882a-ed37b9ca7bc1",The system must allow the administrator to remove an employee record from the list and database as needed.,"The system must allow the administrator to easily add a new employee record to the database by filling out an input form with relevant employee details (e.g., name, position, department, etc.)."
"057d198d-f770-4683-9f34-fee32d840afb","9be0c133-efc7-4c73-8a3b-c23416431ec5",The system must allow the administrator to remove an employee record from the list and database as needed.,"The system must provide a ""Print"" option, allowing the administrator to print a detailed report of employee information with a single click on the print icon."
"057d198d-f770-4683-9f34-fee32d840afb","5e366e67-06af-4000-9a85-4c9e592cc385",The system must allow the administrator to remove an employee record from the list and database as needed.,"The system must provide the administrator with the ability to view a list of all users, showing details such as username, role, and user status."
"064148a1-6e65-41c4-96aa-cd3c7777ebd8","8ed0a5af-4deb-44b5-aa16-6b0a66ccf9f8","Add users as staff if you want to assign responsibility to only specific ecommerce modules such as orders, collections, or shipping.",You can either display your storefront to only select members or make it mandatory to sign up to your ecommerce store to view your products-the choice is yours.
"064148a1-6e65-41c4-96aa-cd3c7777ebd8",c520c45b-e137-4ca0-a0e7-4e6f4f359c27,"Add users as staff if you want to assign responsibility to only specific ecommerce modules such as orders, collections, or shipping.",The system shall provide functionality for the Sales-Assistant to change the assigned staff for the contract by using the staff's name as an access key.
"064148a1-6e65-41c4-96aa-cd3c7777ebd8","8c128d6b-4022-426e-8602-5ea41af21140","Add users as staff if you want to assign responsibility to only specific ecommerce modules such as orders, collections, or shipping.","The system must enforce role-based access controls, ensuring that only users with the Admin role can add, view, or delete users"
