id,feature,subject,predicate,object
dbfc0c1b-7196-4a79-99f0-6ea0e5a25eea,Multi-employee management ,CORE:Odoo Point of Sale, runs, CORE:shops  
dbfc0c1b-7196-4a79-99f0-6ea0e5a25eea,Multi-employee management ,CORE:app, works on, HARDWARE:device  
dbfc0c1b-7196-4a79-99f0-6ea0e5a25eea,Multi-employee management ,HARDWARE:device, has, PLATFORM:web browser  
dbfc0c1b-7196-4a79-99f0-6ea0e5a25eea,Multi-employee management ,CORE:Product, moves, CORE:stock  
dbfc0c1b-7196-4a79-99f0-6ea0e5a25eea,Multi-employee management ,CORE:real-time statistics, provide, CORE:data  
dbfc0c1b-7196-4a79-99f0-6ea0e5a25eea,Multi-employee management ,CORE:data, is consolidated across, CORE:shops  
dea550fe-8777-402d-a4f8-c84c5f83183b,Product combos ,CORE:Odoo Point of Sale,allows,CORE:Multi Employees per Session  
dea550fe-8777-402d-a4f8-c84c5f83183b,Product combos ,USER:users,can log into,CORE:POS  
dea550fe-8777-402d-a4f8-c84c5f83183b,Product combos ,USER:employees,are involved in,CORE:order  
e86c9156-b525-4933-9fbf-12056bba2797,Product combos ,CORE:Product Combos,allows,USER:users  
e86c9156-b525-4933-9fbf-12056bba2797,Product combos ,CORE:Product Combos,defines,CORE:combination options  
e86c9156-b525-4933-9fbf-12056bba2797,Product combos ,USER:users,manage,CORE:combination options  
e86c9156-b525-4933-9fbf-12056bba2797,Product combos ,CORE:combination options,for,CORE:product  
a33ab2b4-b942-4410-8048-7eddbaf81116,Product combos ,CORE:feature, enables, USER:users  
a33ab2b4-b942-4410-8048-7eddbaf81116,Product combos ,USER:user, can define, CORE:main dish  
a33ab2b4-b942-4410-8048-7eddbaf81116,Product combos ,USER:users, can create, CORE:multiple-choice menus  
a33ab2b4-b942-4410-8048-7eddbaf81116,Product combos ,CORE:main dish, specify options for, CORE:sides  
a33ab2b4-b942-4410-8048-7eddbaf81116,Product combos ,CORE:main dish, specify options for, CORE:drinks  
a33ab2b4-b942-4410-8048-7eddbaf81116,Product combos ,CORE:main dish, specify options for, CORE:desserts  
a33ab2b4-b942-4410-8048-7eddbaf81116,Product combos ,USER:customers, can combine with, CORE:main dish  
6a93db1d-3e0d-4baa-945d-f9f2d9849022,Shop Feature Sales Orders,CORE:product set,allows,CORE:products  
6a93db1d-3e0d-4baa-945d-f9f2d9849022,Shop Feature Sales Orders,CORE:product set,combine,CORE:products  
e26bffa0-ebc9-4945-ad88-b64ca946e15b,Shop Feature Barcodes,CORE:Point of sale,has integration with,PLATFORM:Odoo Point of Sale  
e26bffa0-ebc9-4945-ad88-b64ca946e15b,Shop Feature Barcodes,PLATFORM:Odoo Point of Sale,integrates with,PLATFORM:Odoo Sales  
e26bffa0-ebc9-4945-ad88-b64ca946e15b,Shop Feature Barcodes,CORE:sales order,can be created from,CORE:point of sale  
2eea742d-d271-44f8-a443-d91d3f651aab,Shop Feature Serial numbers and lots,CORE:barcode scanner, improves, CORE:point-of-sale  
2eea742d-d271-44f8-a443-d91d3f651aab,Shop Feature Serial numbers and lots,CORE:point-of-sale, improves, CORE:customer service  
2eea742d-d271-44f8-a443-d91d3f651aab,Shop Feature Serial numbers and lots,USER:employees, log into, CORE:POS  
2eea742d-d271-44f8-a443-d91d3f651aab,Shop Feature Serial numbers and lots,CORE:barcode scanner, can be used to scan, CORE:products  
2eea742d-d271-44f8-a443-d91d3f651aab,Shop Feature Serial numbers and lots,CORE:barcode scanner, can be used to log, USER:employees  
bab96132-efd1-4401-ba7f-89c4f7e8aa38,Shop Feature Ship later,CORE:serial numbers,allows,CORE:tracking  
bab96132-efd1-4401-ba7f-89c4f7e8aa38,Shop Feature Ship later,CORE:lots,allows,CORE:tracking  
bab96132-efd1-4401-ba7f-89c4f7e8aa38,Shop Feature Ship later,CORE:products,are tracked by,CORE:system  
bab96132-efd1-4401-ba7f-89c4f7e8aa38,Shop Feature Ship later,CORE:system,identifies,CORE:location  
bab96132-efd1-4401-ba7f-89c4f7e8aa38,Shop Feature Ship later,CORE:location,based on,CORE:movement  
6a282505-6f90-41a2-9ad7-e518a3e1c9be,Shop Feature Customer display,CORE:Ship Later,allows,CORE:products  
6a282505-6f90-41a2-9ad7-e518a3e1c9be,Shop Feature Customer display,CORE:Ship Later,allows,CORE:delivery  
6a282505-6f90-41a2-9ad7-e518a3e1c9be,Shop Feature Customer display,USER:customer,needs,CORE:delivery  
f06acfe7-f6d3-4c4c-8638-dfe817d02836,Restaurant features ,USER:customer,provides,CORE:display  
f06acfe7-f6d3-4c4c-8638-dfe817d02836,Restaurant features ,USER:customers,receives,CORE:updates  
f06acfe7-f6d3-4c4c-8638-dfe817d02836,Restaurant features ,CORE:display,shows,CORE:checkout  
f06acfe7-f6d3-4c4c-8638-dfe817d02836,Restaurant features ,CORE:display,displays,CORE:secondary  
2e22a260-22a4-4ae9-89a4-1cb7b8e7b383,Restaurant features ,CORE:Point of Sale,provides,CORE:features  
2e22a260-22a4-4ae9-89a4-1cb7b8e7b383,Restaurant features ,USER:restaurant,comes with,USER:needs  
2e22a260-22a4-4ae9-89a4-1cb7b8e7b383,Restaurant features ,USER:bar,comes with,USER:needs  
2e22a260-22a4-4ae9-89a4-1cb7b8e7b383,Restaurant features ,CORE:features,allow performing,CORE:tasks  
2e22a260-22a4-4ae9-89a4-1cb7b8e7b383,Restaurant features ,USER:businesses,have,CORE:tasks  
3017d5f4-dec9-4f42-848f-2df22a19b760,Restaurant features Floors and tables,USER:restaurant,has,CORE:floors  
3017d5f4-dec9-4f42-848f-2df22a19b760,Restaurant features Floors and tables,USER:restaurant,has,CORE:tables  
3017d5f4-dec9-4f42-848f-2df22a19b760,Restaurant features Floors and tables,USER:restaurant,uses,CORE:orders  
3017d5f4-dec9-4f42-848f-2df22a19b760,Restaurant features Floors and tables,USER:restaurant,communicates with,USER:kitchen  
3017d5f4-dec9-4f42-848f-2df22a19b760,Restaurant features Floors and tables,USER:restaurant,communicates with,USER:bar  
3017d5f4-dec9-4f42-848f-2df22a19b760,Restaurant features Floors and tables,CORE:restaurant,prints,CORE:bills  
3017d5f4-dec9-4f42-848f-2df22a19b760,Restaurant features Floors and tables,CORE:restaurant,splits,CORE:bills  
3017d5f4-dec9-4f42-848f-2df22a19b760,Restaurant features Floors and tables,CORE:restaurant,collects,CORE:tips  
3017d5f4-dec9-4f42-848f-2df22a19b760,Restaurant features Floors and tables,CORE:restaurant,sets,CORE:taxes  
3017d5f4-dec9-4f42-848f-2df22a19b760,Restaurant features Floors and tables,CORE:restaurant,offers,CORE:takeaway food  
926c1801-40a7-4bed-9f9a-ff2b498b0606,Restaurant features Orders printing,CORE:Floor plan view,manages,CORE:restaurant floors  
926c1801-40a7-4bed-9f9a-ff2b498b0606,Restaurant features Orders printing,CORE:Floor plan view,manages,CORE:table arrangements  
926c1801-40a7-4bed-9f9a-ff2b498b0606,Restaurant features Orders printing,CORE:Floor plan view,monitors,CORE:table status  
926c1801-40a7-4bed-9f9a-ff2b498b0606,Restaurant features Orders printing,CORE:table status,includes,CORE:occupancy  
926c1801-40a7-4bed-9f9a-ff2b498b0606,Restaurant features Orders printing,CORE:table status,includes,CORE:reservations  
926c1801-40a7-4bed-9f9a-ff2b498b0606,Restaurant features Orders printing,CORE:table status,includes,CORE:kitchen orders  
a0f08452-f6c7-4f7d-8661-407fb0116ba6,Restaurant features Bills,HARDWARE:printers,integrates in,USER:restaurant  
a0f08452-f6c7-4f7d-8661-407fb0116ba6,Restaurant features Bills,HARDWARE:printers,integrates in,USER:bar  
a0f08452-f6c7-4f7d-8661-407fb0116ba6,Restaurant features Bills,CORE:workflow,enhances,CORE:communication  
a0f08452-f6c7-4f7d-8661-407fb0116ba6,Restaurant features Bills,CORE:workflow,enhances,CORE:collaboration  
a0f08452-f6c7-4f7d-8661-407fb0116ba6,Restaurant features Bills,USER:front-of-house,collaborates with,USER:back-of-house  
a0f08452-f6c7-4f7d-8661-407fb0116ba6,Restaurant features Bills,CORE:service,leads to,CORE:workflow  
1968af3e-27f5-4ffb-8f30-eaf6a662a41e,Restaurant features Tips,CORE:Bill Printing,provides,CORE:Odoo POS  
1968af3e-27f5-4ffb-8f30-eaf6a662a41e,Restaurant features Tips,CORE:Bill Splitting,provides,CORE:Odoo POS  
606f169d-48af-4481-94a3-23d7a504adb8,Restaurant features Tips,CORE:Point of Sale,allows,USER:tipping  
606f169d-48af-4481-94a3-23d7a504adb8,Restaurant features Tips,USER:tipping,is customary in,USER:shops  
