source_id,option_id,source,option,is_similar
009a2bef-0070-4f06-8a4e-dc306b17b7c2,2435debf-b31d-4219-87cb-7f18e8889b22,"The system shall generate a detailed report of all customers' payment statuses for the specified time period, including the total amount purchased, total payments made, and the current outstanding debt.","The system's report shall present a clear and organized customer list, highlighting each customer's total purchases, payments, and debts within the selected timeframe.",fb944c0d-4c35-4d79-8f71-e919968f3ed7
01379659-6e85-4055-a25b-c57056cbe842,535a65fa-a781-4c74-94fd-fc6483bff43c,The system must verify that the product associated with the coupon is available in stock before applying the discount.,The system must verify that the coupon ID is valid and corresponds to an existing promotion in the system.,59254e66-eb0d-405a-bb2b-0f208eb66837
0143aef8-853a-437b-ab2c-57351aff104a,0a898e3f-78ca-4fd0-8e1b-a2d61e38d251,"Real-time accounting records generated for a product from stock purchases, scraps, and other inventory actions.","Real-time accounting records generated for a product from stock purchases, scraps, and other inventory actions.",85b9338c-0e0b-4922-8afe-edb9454ba980
01be1e05-bd55-4d02-a24c-3ca84e5b8a2d,dd2aee3e-1f21-4ed5-b78b-f54c1534979d,"Whether you run a Health & Beauty, Fashion & Clothing, or Food & Drink ecommerce business, Zoho Commerce's themes are created to fit your business needs. From classy image sliders to fun background videos, choose the themes of your choice.",Zoho Commerce has plenty of customizable layouts and themes to fit your design choices and business aesthetic. Uncluttered layouts and seamless transitions create a memorable experience for your customers.,3efbfde2-eb91-4b2c-95bc-af8abb0dcd19
03b19456-8ec4-4f61-868d-cbcbfb954531,cd2e6c72-c60e-412d-a9c5-e4fa3c7e43cc,The System holds all the details of the all the employees who are working in the organization.,"The system must display a list of all employees in a tabular format, showing key information such as employee name, ID, position, and department.",474418fc-7c58-4487-882a-ed37b9ca7bc1
03fdedf8-3f1a-4c4e-b509-7735351fa10c,91970922-b6cc-49f4-be08-86b4195e5a62,"Set predefined routes for return condition assessment, refurbishing, restocking, or disposal. When integrated with the Accounting app, the returned product's updated inventory valuation immediately hits your books.","Integrate with the Sales app to generate display return instructions, and printable barcode of the order and defined return location in the Customer Portal. Keeps the customer informed with timestamps and return status, right on the Customer Portal.",6eb16217-4733-4de2-920e-e570748a669f
04c7e864-b8e1-4b0c-8491-bdaaae208b71,47ecf680-59a1-4757-b56b-96dce364ea37,Create compelling photosets by adding relevant images under one group. Embellish your photoset by adding captions and managing its theme.,"You can manually add products to a collection or set up filter conditions based on product title, price, brand, and tags to automatically create one.",3e5118b9-7ae6-4354-b2f3-1578debf4af2
050483a7-494b-48be-a801-19fd95c25e40,f53b067b-418f-43a9-93ee-f73ba3d49c00,The system shall enable the Sales-Assistant to find the next product and continue adding products to the wholesale order until all desired products are included.,The system shall allow the Sales-Assistant to add the selected product to the wholesale order.,d67240ae-35d6-4e03-aa8c-992e73c67c85
057d198d-f770-4683-9f34-fee32d840afb,2bc9b0a8-f491-471d-85d9-bfce4690383b,The system must allow the administrator to remove an employee record from the list and database as needed.,"The system must allow the administrator to delete a user from the list, permanently removing their record from the database.",4ee5cea4-e52d-45f1-a74e-4bbb6ee14ecb
064148a1-6e65-41c4-96aa-cd3c7777ebd8,8ed0a5af-4deb-44b5-aa16-6b0a66ccf9f8,"Add users as staff if you want to assign responsibility to only specific ecommerce modules such as orders, collections, or shipping.",You can either display your storefront to only select members or make it mandatory to sign up to your ecommerce store to view your products-the choice is yours.,6b93ac9a-cd37-4468-af06-468cdb026afc
0685e764-6e8d-43a3-80bf-c2870ac66ad7,6b93ac9a-cd37-4468-af06-468cdb026afc,The server must notify a client when an item is sold providing information about the sale. Shipping information and a formatted ready to print shipping label are provided.,A client upon syncing is informed of all sales/transactions made since the last sync. Shipping information and a ready to print label are prepared for users with printers. ,eaba874f-4ec6-4ee5-921a-9933001864e8
06926d3f-622c-4967-9522-6cab28808df1,e9312962-3077-48b7-8262-a2e15ab1929a,The system must display a login form when the user clicks the link for the SCATS application.,The system must provide fields for the user to input their username and password.,32617737-6d40-41fe-ba11-bad6bd7b8990
06ef2dec-c5f5-4706-bf43-6095aaa23666,19d89f8f-cf7b-4865-be49-530c4782b349,Save time by setting up rules to automatically send RfQs to your suppliers based on your stocks levels.,"Set up procurement rules to automatically order the necessary items based on stock levels, minimum quantities per location or per supplier, sales, or other parameters.",6780ed33-f1c3-4e7e-bce7-288a6410dfd3
072fd9d6-dd93-4e39-bb03-50d67d4e8213,7a5dd008-2209-44d9-a098-96b4f1f81cb6,Look up your customers with the built-in search feature or identify them with a barcode printed on their loyalty card.,Find your customers and products with the built-in search features.,125814cf-91df-4c05-8cea-28f4d0908a74
073b7c94-98cc-4600-869d-99170bc7e4ce,7f05b0bc-1d6a-4d87-8314-ed7709c12382,"The system must provide an interface for the Sales Manager to input all necessary product information, such as name, quantity, supplier details, price, and product category.","The system must allow the Sales Person or Sales Manager to input or correct data fields, such as customer information, product details, or Sales Person information.",93b097e5-10e3-4aa2-ae17-1a090ff4c050
075215f0-090b-414a-ab2a-9205de47723b,86692c68-a2b0-477d-a9a1-0478fa5d044a,The system shall enable the Sales Assistant to record the phone number and cell number of a potential customer.,The system shall enable the Sales Assistant to update the phone and cell numbers of an existing customer.,e2123b20-3a75-4939-b1cc-a30d6c97f233
0771c37c-da57-4a76-84b2-fd181d55df30,93b097e5-10e3-4aa2-ae17-1a090ff4c050,The system must display the name and price of the product to the user once the information is retrieved from the backend system.,"The system must display detailed product information, including price, quantity available, and description when the Sales Person searches for a product.",dcf45e4f-3535-4968-b917-14f77190109b
07a620a9-8c0c-4cd5-9b97-01fa7fd597ec,a682fb54-6366-45c6-ae02-7c8e24df5d33,"The system shall display the details of the existing product when found, including its current quantity and stock number.","The system shall display a confirmation message showing the product name, product number, and updated stock quantity after the product is successfully added.",9f201428-8309-4ba4-8b81-67514a8a427d
08f4fcba-f173-4006-a07e-00c694b00655,35f075f9-7415-46cd-b199-0e9b00962ad2,Use Odoo's mobile interface to sell on the road.,Use your CRM on the go with Odoo's mobile-friendly interface.,1ac9fe58-12a9-477d-b01b-fe8925c43e8f
0955d54c-20b8-47b8-816a-c9c8092c4a22,d3a75bd3-2a0a-4cf1-949b-a7c383d9d368,The system shall enable the Sales Assistant to further refine the search for a wholesale by using access keys like the wholesale partial number.,The system shall enable the Sales-Assistant to find a wholesale by utilizing a partial number of the wholesale as an access key after selecting a Customer.,e6bc21be-c452-465d-bcad-bf3e78023e4a
09deec18-7829-42c6-be4e-8d9cf436d603,b47fe966-1ff0-48a4-9448-c48ed351de38,"Provide multiple options to your customers by displaying the variants based on size, color, weight, and more with the Buy Now Button. Provide your customers the option to choose what appeals to them.","Customize products with multiple attributes and variants, such as size, color, and finish.",69a94051-9ea2-4f8a-9398-d4a980e6e1a2
09ef99b8-518e-4284-885c-1cab53e39331,4908c8a4-55ba-4b16-994f-89368a1435b7,"The system must provide options to export the generated reports in various formats (e.g., PDF, Excel) and allow users to print the reports for documentation purposes.","The system must allow the user to either display the requested report in a part of the browser window or print it out, depending on the user's preference.",9be0c133-efc7-4c73-8a3b-c23416431ec5
0a898e3f-78ca-4fd0-8e1b-a2d61e38d251,0143aef8-853a-437b-ab2c-57351aff104a,"Real-time accounting records generated for a product from stock purchases, scraps, and other inventory actions.","Real-time accounting records generated for a product from stock purchases, scraps, and other inventory actions.",85b9338c-0e0b-4922-8afe-edb9454ba980
0b4419a7-83ca-444f-a202-4a43de9776d4,d5fce2e5-97e1-4e07-a1a7-483cb9ce67c8,The system shall allow the Sales-Assistant to find an existing contract that has not been carried out yet by accessing it with the contract number.,The system shall allow the Sales-Assistant to find an existing contract using the contract number as the access key.,e33d0cfc-b33c-4fe8-bfad-30de5dce1323
0b985b98-5735-4271-a2b0-58adbce79d8d,4a3f9539-71ef-43b4-ac9f-38affcbd18f0,The system shall provide an option for the Sales Assistant to add the product to the stock after entering the required details.,The system shall enable the Sales Assistant to input the quantity of the new product being added to the stock.,cfd2a427-2d57-4c17-8c48-c727a3ad2d48
0ce27743-0a17-438f-ad0b-cba91348bc7b,41af4682-7146-40b5-bf70-50dafd6c3ece,"Integrate with third-party shipping carriers to calculate cost of shipping based on product weights, and customer address.","Compute shipping costs based on multiple variables such as weight, volume, quantity, margin, and delivery address.",3f9c215a-7356-4026-9d2f-62e0609a159b
0cec4ae9-bc1f-4c5f-874e-a1e5fc775be8,07a620a9-8c0c-4cd5-9b97-01fa7fd597ec,"If the ""Specific Product"" option is selected, the system must prompt the user to input a product number and display all relevant product data, including stock inventory.","The system shall display the details of the existing product when found, including its current quantity and stock number.",0b985b98-5735-4271-a2b0-58adbce79d8d
0d50f181-ca32-4b7d-aee5-d500a23051a0,761f548b-6663-4615-81a4-082566d849d6,"Choose from three methods— at confirmation, manual, or scheduled date—to manage available stock while considering customer priority.","Sell products, arrange delayed delivery, and choose the desired shipment date.",2533ca57-ec38-4753-ba2d-41c06f660518
0d82b796-d6e5-4abd-8060-311babb268cc,6e1b4ddc-d61d-489e-88fc-b26d7752fd06,Use existing color schemes or add custom colors to your storefront. Change the base and heading fonts to reflect your brand.,"From changing the color of icons to increasing the width of columns and customizing the size of banners, take complete charge of every element and section on your storefront.",653c3bfd-f491-4d24-afcb-d646a31321ca
0e44a4e3-510e-4c9c-9a37-edf386397802,53725cbe-8e6a-4a84-961c-057661755c32,"Advertise your current promotions, hours of operation, and upcoming events on your printed receipts.","Create and offer discounts to retain customers and increase your revenue. Discounts can be permanent, time-limited, or seasonal.",0f8c87e0-9dff-419a-93e3-068536650595
0e4f5fd7-5354-4d70-8523-94f236ef7fea,e1ef9c4b-18df-4a51-af54-88d2538516ed,Apply discounts on any quotation line item and choose if the discount should be visible or hidden to the customer.,Set customer prices or offer percentage-based discounts on either a single product or the entire order.,ad3dcc16-9c67-4c04-9783-d5627c389a1c
0e651f80-69b3-4403-a206-c6a8b22141b8,8dcc86d4-f80f-42f2-b482-08e11b3e474a,The system shall enable the Sales-Assistant to locate the contract using a partial contract number after selecting the customer.,The system shall enable the sales assistant to find a contract using a partial contract number as an access key after selecting the customer.,4c916c83-aacd-43b5-ad18-32cfeac2a8f2
0e86f153-8b8f-4d3f-b29a-2113eb3d7177,4a79cb12-f204-404f-93ac-aa63987930b2,"Get the best prices for materials by scheduling recurring orders with pre-defined vendors, order quantities, and expected arrival dates. (Integration with Purchase app)",Manage incoming shipments with vendor-provided arrival dates and automatic unit of measure conversion for received quantities. (e.g. buy in tons and sell in kg.),df262c73-8c41-4a54-81b3-b2b2a2de0e95
0edc1182-534a-431d-9351-5bffc63ccdb2,d44a1fd7-c5d6-4813-991e-59d4aadaa608,Credit your eWallet via top-up or product refund. Bump up retention while keeping your clients happy.,Allow customers to purchase gift cards for preconfigured custom amounts and use them to purchase items from your shop. Allow customers to use an eWallet to store money on your website for online payments.,3f9ece1d-9f94-4e01-b4c3-f99a8f4f1c58
0f69ab7e-27f4-4106-a6da-c38d1eb9844b,ae08fd03-8087-4526-8e2c-b989f3643efa,Use predefined dashboards or build your own with the advanced reporting engine Share filters with the team.,Use predefined dashboards or build your own with the advanced reporting engine. Share filters with the team.,2d7fce98-b882-4b65-beb9-a869e0bb1861
0f7115df-3f83-4600-a4cc-dd324c5c2c33,f228dd9b-cf13-4e15-b17c-df151e03b7c3,Monitor cash register adjustments and easily verify cash content at the end of the day.,Manage multiple cashier accounts and secure them with badges or pin codes.,0e44a4e3-510e-4c9c-9a37-edf386397802
0f8c87e0-9dff-419a-93e3-068536650595,9380e2e4-f0b6-4da7-bea5-6d03bbb8981d,Generate and print invoices for your business customers.,Send pro forma invoices to your customers.,4fffed33-4d6a-4b3e-ac66-311e4a952360
0fa53523-7376-45a3-8b38-3b02df533195,b4c56752-2399-4d40-9813-9cf1a28c8387,"Generate shipping labels for integrated carriers: Fedex, DHL, UPS, USPS, Bpost, Sendcloud (EU), Easypost (North America), and Shiprocket (India).","Compute shipping costs automatically, print shipping labels, and track your shipments. Odoo integrates with UPS, DHL, FedEx, USPS, Bpost, Easypost, and local postal services.",28ff6c78-1803-470c-8362-fa980b5ffe3e
0fb0d660-1247-4378-90e1-4c2e444e1794,19ef89c5-e8e2-46fd-a8a8-eee3af27841b,The system shall allow the Sales-Assistant to view or print the existing wholesale data.,"The system shall allow the Sales-Assistant to view details of a wholesale on the screen by finding an existing wholesale using the access key ""wholesale number"".",de8d686c-e986-498c-a0df-e0802865e1f8
10056c6c-ec00-44ab-89aa-df89b77907f6,8d562469-09f3-4a3a-b96c-4c06063d7104,The system must validate that the barcode corresponds to a product in the backend catalogue and that the product has at least one item in stock.,"The system must validate the barcode to ensure it is consistent with the defined barcode standard (e.g., length, format) and that a corresponding product exists in the backend catalogue.",f711b1fd-cf7f-4d5f-bb9f-3c13fd046410
103484c3-b5f6-4a97-919c-c76ff65df825,9b0dcc6c-2f0d-4429-9c41-67358f3316bc,"Follow key quotations and business opportunities in just a click, and get alerts about relevant activities. Schedule activities directly from business opportunities, and get reminders when the activities need to be performed.",Follow key opportunities in just a click and get alerts based on relevant activities.,221b2621-1ffe-468b-86cc-86539c079463
1055cde7-97cc-436f-a857-2ea9b2766438,714514b5-8959-45dc-b4a2-5715030f2430,"Easily monitor a KPI dashboard for important information such as total amount invoiced, sales per country/salesperson/sales team, churn, MRR, lifetime value, CAC ratio, and upgrades/downgrades.",Visualize your sales teams KPI's at a glance.,181bb044-5352-47a0-ab6e-7155cdc4266a
10d2ff34-18d4-48bd-a761-fa569c558909,c78bb1a6-4f46-4a28-9538-ef3a53626e7a,Get all your email communications automatically attached to the right opportunity. Create new leads automatically based on incoming emails.,"Get leads automatically created from emails, VoIP calls, social media reactions, website visitors, event attendees, support tickets, etc.",d1c5169d-2af0-4b9e-a93d-719669a4ebb7
11259496-670a-4aa5-b44f-d847206437a4,63332adc-e4f2-4f79-ac11-fb23ada665d5,"The system must prevent the admin from entering inward details, restricting this functionality to normal users only","The system must enforce role-based access control, where normal users can enter inward details and generate reports, but admins are restricted from making such entries.",8c128d6b-4022-426e-8602-5ea41af21140
122d683b-ad77-49ae-9f61-da585d5562dd,3f9ece1d-9f94-4e01-b4c3-f99a8f4f1c58,Design a loyalty program for your customers to join and earn points that can be used on future orders.,"Reward your customers with loyalty points and exchange them for gifts or discounts. Points can be earned by product, order, or sale amount.",072fd9d6-dd93-4e39-bb03-50d67d4e8213
125814cf-91df-4c05-8cea-28f4d0908a74,7a5dd008-2209-44d9-a098-96b4f1f81cb6,"Quickly find products by name, barcode, or description with the built-in search function.",Find your customers and products with the built-in search features.,072fd9d6-dd93-4e39-bb03-50d67d4e8213
125ad59a-a2ce-4ce3-aa79-f0096ca5fc37,1aed1fb4-258d-4377-9a88-1de701106294,The system shall enable the Sales Assistant to input the retail price for a new product.,The system shall enable the Sales Assistant to input the contract price for a new product.,228ff569-020d-4158-8f4b-fa3cdff36cc8
1368e9d5-612b-465b-a39d-f085e511080b,a9274c35-d0ca-4c63-a635-2bd269c2d2a5,"After the product is successfully registered, the system must maintain the Sales Manager’s session and ensure the system menu is still displayed.","After the employee registration process is complete, the system must maintain the Sales Manager’s login session and ensure the system menu is still displayed.",5152618d-f817-4626-a054-65c60b2648f9
138ff79c-86d8-4f2d-8e65-6afbdea9289f,88edcfae-e097-4f44-96fd-157c0ab702b3,"Create and manage specific storage locations, like shelves, aisles, cold storage rooms, and pallet racks.","Create dedicated locations to receive products, sort, pack, and other warehouse operations.",c68d813d-7f39-4d2e-8aa0-a000e8a0f56d
14169e42-3c8c-4554-8143-b871d94ac741,ce07970e-19ef-4f18-9a2e-e0e10d851354,Easily migrate products from an external system to quickly start taking orders and bring in revenue.,Import products in bulk using a CSV or XLS file to add multiple products in one go with minimal effort.,487aec20-4aff-44e3-aee4-4e14de445f00
14171841-9ced-4a95-a1a5-158af8ad7a5b,cb052de8-84ec-4e68-9ddb-b6505a3b3915,The system shall validate the entered price values and notify the Sales Assistant of any errors or missing required fields before saving the changes,The system shall validate the updated fields and notify the Sales Assistant of any errors or missing data before saving the changes.,d944f82c-56d0-4beb-9c7a-d5b379e0effb
147cc4ba-135e-4179-97c7-6abe950176cc,835ecf24-6ef2-4cba-90d6-dcb7738cfb4e,The system shall record the new payment details following the return transaction.,The system shall record the new payment data for the selected retail transaction upon entry by the Sales-Assistant.,8a619a3c-0181-4244-b0be-cd20582ba20c
14d70972-7f2f-4a38-b259-ed8587406305,56ddcebc-98d7-41a4-b3a9-b979ea8aaa9d,The system shall allow the Sales Assistant to search for an existing product using either the product number or the product name as access keys.,The system shall allow the Sales Assistant to search for an existing product using either the product number or product name as access keys.,d9c330b8-2f4b-444a-8e72-8eccc8791312
15006ca0-5bd2-4e7f-ae40-ddd4d969fbbb,bcf73366-6b49-447f-8019-a6b3a0e2c3b2,"A customer is able to check out via PayPal. After checking out, the store owner
receives payment equal to the total value of the items in a customer’s cart credited to their PayPal account.","A customer is able to check out via authorize.net. After checking out, the store owner receives payment equal to the total value of the items in a customer’s cart credited to their authorize.net account. ",1702b5bb-ed27-485c-9f98-a663e013a179
1529a1fe-3190-4664-85fb-0488525b2d6a,856763c1-95b5-4957-ae2e-bc14155e5222,The system allows the godown manager to log into the system and enter their outward entries and their purpose related to their godown.,The system allows the godown manager to log into the system and enter their inwards entries related to their godown.,c41a27f5-ff6c-40ef-b9e7-209b0023648d
15fb0d0c-c698-4ba2-8e47-f7546d8ae17a,38b05d72-4ad6-4e72-b6f5-c925def9e635,"Reference all the suppliers distributing the item, order them by priority, and record their delivery time and minimal quantity to save time on new orders.",Add the reference used by each supplier for the item to make it easier to find for both them and you.,f573872c-b893-46e3-8075-b2906b01b793
166defe8-d3d6-44ae-821e-a1945f261267,6b35d96f-1dcd-4f33-ad37-d514ad94e970,The system shall enable the Sales-Assistant to browse through the report of returned products for a specified period.,The system shall allow the Sales-Assistant to enter a specific time period or date to generate a report about returned products.,42ff77fe-f791-4b64-9c8d-1bdff9968fca
1702b5bb-ed27-485c-9f98-a663e013a179,c51172b7-8bd1-4988-abfb-ec4002ad2e04,Customers on a web store are able to add/remove items to a virtual web cart and purchase all items in the cart at checkout.,A customer can select a product that is not out of stock and add any valid number of the product to their web cart. This web cart can be used to monitor items you want or for buying groups of items. Items are subtracted from the inventory list upon checkout and not upon adding to the cart. ,e612c4fa-4e7e-4fcf-96f3-d9f57abc0ea1
181bb044-5352-47a0-ab6e-7155cdc4266a,e04863ef-986d-4da3-9bb3-402681fbaa32,"Choose whether your statistics are based on orders, invoices, or both. Group sales data by categories such as product type, salesperson, country, and sales team.","Get a full overview of all your sales activities, next actions, and performance data.",3f9c215a-7356-4026-9d2f-62e0609a159b
184c6361-827d-4f30-92b4-3d43a00e7f05,3f9c215a-7356-4026-9d2f-62e0609a159b,Decide if a product must be weighted using an integrated scale.,Calculate product weight during checkout with the electronic scale integration.,0ce27743-0a17-438f-ad0b-cba91348bc7b
1870a991-db42-44fc-9403-d9917b78169a,8de15473-53df-4b13-a0c5-67252c27a3fb,"The system shall enable the Sales-Assistant to enter payment data, including payment sum, payment date, and payment receipt number.","The system shall provide a form for the Sales-Assistant to enter payment data, including payment sum, payment date, and payment receipt number.",8a619a3c-0181-4244-b0be-cd20582ba20c
19a0e4ff-723c-4a11-9417-e00facdb199c,af1f03a6-fac8-48ad-a663-35ab4804c755,The system must allow the user to input a valid barcode to identify the product whose stock needs to be updated.,The system must allow the user to input a valid barcode to retrieve the corresponding product information.,31ea4763-8164-4669-8faa-931ac3b0cc2a
19d89f8f-cf7b-4865-be49-530c4782b349,06ef2dec-c5f5-4706-bf43-6095aaa23666,"Set up procurement rules to automatically order the necessary items based on stock levels, minimum quantities per location or per supplier, sales, or other parameters.",Save time by setting up rules to automatically send RfQs to your suppliers based on your stocks levels.,15fb0d0c-c698-4ba2-8e47-f7546d8ae17a
19ef89c5-e8e2-46fd-a8a8-eee3af27841b,e6bc21be-c452-465d-bcad-bf3e78023e4a,"The system shall allow the Sales-Assistant to view details of a wholesale on the screen by finding an existing wholesale using the access key ""wholesale number"".","The system shall allow the Sales Assistant to find an existing wholesale using the access key, which is the wholesale number.",0955d54c-20b8-47b8-816a-c9c8092c4a22
1a22d10d-7071-4095-94c0-890fa28bac67,8343547c-caa4-4658-bbb8-1c0152abe364,The system shall ensure that only a Sales-Assistant is authorized to perform the actions related to adding payments for wholesale transactions.,The system shall enable the Sales-Assistant to view and analyze payment details related to wholesale deliveries within the chosen time frame.,fa03c467-61f4-45ef-b6ef-db4a3cdfc9a8
1a497cb4-b6f6-4969-9bbd-c32fe7608c09,1b3ebbee-098b-402f-8c30-ad1fba2dbc17,The system shall enable the Sales Assistant to update the first name and last name of an existing customer.,The system shall allow the Sales Assistant to enter the first name and last name of a potential customer.,86692c68-a2b0-477d-a9a1-0478fa5d044a
1ac9fe58-12a9-477d-b01b-fe8925c43e8f,2ea0731a-b424-4a8f-b062-c71b72e8023f,Operate Odoo POS on PCs and tablets as well as industrial touch-screen terminals.,"Odoo POS is a web-based application and can be deployed on any device and OS running Chrome, Firefox, or Safari (such as Microsoft Windows, Apple OSX, Linux, Android, and iOS).",35f075f9-7415-46cd-b199-0e9b00962ad2
1ad20b30-a738-4a9c-9a6d-74bab56895c1,845ed7e0-a706-49a7-ad6f-0a1fba4f5f4d,The system shall enable the Sales-Assistant to enter the returned product price.,The system shall allow the Sales-Assistant to enter the returned product quantity and stock number for the selected product.,d8ce61bb-9b01-440d-a5c3-4df5a5691508
