id,feature,sentence
e61f9b9d-6013-4e8e-867d-3780315098c2,Record stock status,The system shall allow the Sales Assistant to enter the product name when recording the stock status for a new product.
4a3f9539-71ef-43b4-ac9f-38affcbd18f0,Record stock status,The system shall enable the Sales Assistant to input the quantity of the new product being added to the stock.
883786a9-a36d-4763-b1a9-f4f0fd25119b,Record stock status,The system shall require the Sales Assistant to enter a unique stock number for the new product.
0b985b98-5735-4271-a2b0-58adbce79d8d,Record stock status,The system shall provide an option for the Sales Assistant to add the product to the stock after entering the required details.
e0e8172e-d407-4f69-a4a4-0f39979d3ab4,Record stock status,"Upon successfully adding a new product, the system shall generate a unique product number for the new product."
4afcc1d0-99e4-4db2-8e7f-2f2d80206fb2,Record stock status,The system shall update the stock to reflect the new quantity of the added product.
a682fb54-6366-45c6-ae02-7c8e24df5d33,Record stock status,"The system shall display a confirmation message showing the product name, product number, and updated stock quantity after the product is successfully added."
14d70972-7f2f-4a38-b259-ed8587406305,Update stock status,The system shall allow the Sales Assistant to search for an existing product using either the product number or the product name as access keys.
07a620a9-8c0c-4cd5-9b97-01fa7fd597ec,Update stock status,"The system shall display the details of the existing product when found, including its current quantity and stock number."
68c0a16c-fec9-4ca5-9207-4b541761d594,Update stock status,The system shall allow the Sales Assistant to update the quantity of the existing product.
82ec8cc4-6342-4d40-a856-7d803c54528d,Update stock status,The system shall allow the Sales Assistant to update the stock number of the existing product.
4494c1ef-a3cc-4848-a43c-e44d8fd5e04e,Update stock status,The system shall provide an option for the Sales Assistant to accept the changes made to the product details.
69b5b69d-bb92-4d1b-8e23-472f81180c8c,Update stock status,"Upon acceptance of the updated product details, the system shall save the changes and update the stock with the new quantity and stock number."
9f201428-8309-4ba4-8b81-67514a8a427d,Update stock status,The system shall display a confirmation message showing the updated quantity and stock details after the product has been successfully updated.
33db9066-8a51-4373-b374-f66c15436d8a,Update stock status,The system shall notify the Sales Assistant if the searched product cannot be found using the provided access keys.
d8ce61bb-9b01-440d-a5c3-4df5a5691508,Record product price,The system shall allow the Sales Assistant to enter the product name when recording the price details for a new product.
125ad59a-a2ce-4ce3-aa79-f0096ca5fc37,Record product price,The system shall enable the Sales Assistant to input the retail price for a new product.
228ff569-020d-4158-8f4b-fa3cdff36cc8,Record product price,The system shall allow the Sales Assistant to enter the wholesale price for a new product.
72e1bade-df9d-499d-b8aa-32862bd334c4,Record product price,The system shall provide an option for the Sales Assistant to specify the wholesale quantity when recording the wholesale price.
1aed1fb4-258d-4377-9a88-1de701106294,Record product price,The system shall enable the Sales Assistant to input the contract price for a new product.
8ff60e36-0f00-495d-ad1a-dcc8d3b795a2,Record product price,The system shall provide an option to add the new product after all required details have been entered.
1cb7bf4d-17be-4294-b14b-ae45b5697a35,Record product price,"Upon successful addition of the product, the system shall generate a unique product number for the new product."
59c0e138-64e7-4c76-a3a7-0dc7cb2af593,Record product price,"The system shall store and display the entered prices (retail price, wholesale price, and contract price, if applicable) along with the wholesale quantity for the new product."
30ec1003-6e25-480a-8bf9-e57146bd2f22,Record product price,The system shall notify the Sales Assistant if any required fields are missing or invalid during the product addition process.
dcf45e4f-3535-4968-b917-14f77190109b,Record product price,"The system shall display a confirmation message with the product name, product number, and recorded price details after successful product addition."
56ddcebc-98d7-41a4-b3a9-b979ea8aaa9d,Update product price,The system shall allow the Sales Assistant to search for an existing product using either the product number or product name as access keys.
