id,feature,sentence
2a0aa188-eb8d-4913-91ab-603bc54ac0af,Win trust with site security,Secure your customer's confidential data such as credit card details or addresses by installing SSL certificates with a click of a button.
7974edd7-e1de-4fbb-a792-b6b9458e89e0,Take your site live instantly,"Whether you want to get a free subdomain from Zoho, map your existing domain, or buy a new one, it's all effortless. Add multiple domains based on your convenience."
7b27f169-ed55-4575-88a6-bbf99bf48168,Hosting & storage built-in,Keep your website up and running all the time. Zoho offers unmetered bandwidth and file storage to suit your every business requirement.
dd2aee3e-1f21-4ed5-b78b-f54c1534979d,Customizable layouts,Zoho Commerce has plenty of customizable layouts and themes to fit your design choices and business aesthetic. Uncluttered layouts and seamless transitions create a memorable experience for your customers.
01be1e05-bd55-4d02-a24c-3ca84e5b8a2d,Designed for every industry,"Whether you run a Health & Beauty, Fashion & Clothing, or Food & Drink ecommerce business, Zoho Commerce's themes are created to fit your business needs. From classy image sliders to fun background videos, choose the themes of your choice."
c773d41f-e281-4a08-a21c-3dd78492bda3,SEO and mobile-ready,"Our themes are all customizable, mobile responsive, and SEO-friendly. Each theme can be changed later without losing any of your content."
6e1b4ddc-d61d-489e-88fc-b26d7752fd06,Stylize your storefront,"From changing the color of icons to increasing the width of columns and customizing the size of banners, take complete charge of every element and section on your storefront."
c328ed8c-7491-423b-8fa5-8b5dca686cdf,Embed custom scripts,Scale your business by embedding third-party widgets and scripts into your website. Insert snippets to apply reoccurring customizations.
04c7e864-b8e1-4b0c-8491-bdaaae208b71,Add photosets,Create compelling photosets by adding relevant images under one group. Embellish your photoset by adding captions and managing its theme.
362fca71-e549-4e87-afa7-1913861d7cc9,Forms,Add forms into your storefront with the click of a button. Meet your audience by adding name and email fields. Redirect them to a page of your choice upon submission.
3e5118b9-7ae6-4354-b2f3-1578debf4af2,Menus,"Organize your store better by creating menu items. Add pages, links, products, categories, and even collections as menu items. Rearrange the existing menus with ease via drag-and-drop."
0d82b796-d6e5-4abd-8060-311babb268cc,Presets,Use existing color schemes or add custom colors to your storefront. Change the base and heading fonts to reflect your brand.
a0f4ed91-3283-4f45-877c-2be20e4392cd,Modify header style,Apply various header styles based on the logo and navigation bar placements. Delight your customers by having either a transparent or an animated header when you scroll.
2b46e67f-4fda-4b3e-b2da-173b131f41ee,Add compelling banner layouts,Want to leave some breathing space near the edges or want to display the full-size banner on your home page? We have a layout for your every need.
520aa81d-f753-4dbe-abe2-9b28df8ca53c,Blog list and post layout,"The Visual Editor enables you to change the way your blog lists and posts appear. You can choose from various layouts to display your listed posts, as well as how you would like individual posts to be displayed."
7421168c-059b-42d0-8137-3f3937772ab0,Support multiple currencies,"We support 160+ currencies, which means you can empower your customers across the globe to view prices in their preferred currency. The final checkout will happen in your base currency."
b946d8f2-6b7c-4ddf-a307-c4ff9ce3a8d2,Currency conversion,Enable/disable the currency conversion feature in your ecommerce store based on your need to showcase product pricing in different currencies.
39206fc2-25e1-47c2-b52e-59f5880731c7,Add products,"Fill out the product title, description, SKU, and other details, create different variants with multiple attributes, and set different prices and inventory amounts."
74738b81-8d5a-471c-8a39-2a0f8db60bb5,Manage products,"After adding products to your store, you can sort, search, or even delete products that are no longer available in your store."
ce07970e-19ef-4f18-9a2e-e0e10d851354,Import and export products,Import products in bulk using a CSV or XLS file to add multiple products in one go with minimal effort.
be4fb186-24f2-477c-84d6-a3b9c9084a5e,Create product specifications,Add detailed product specs and create specification sets for different products. Classify specifications according to different groups and categorize your specification fields.
9c5ae133-d1af-47b8-a15a-d50ae5730a0f,Clone products,"With the ""Clone"" feature, you can instantly create a new, similar product without having to enter the details from scratch. Note: Batch number, quantity, and SKU details will not be cloned,   and composite products cannot be cloned."
8fad6507-7b75-4efe-8d72-5fce86f6887f,Create composite products,Offer different product bundles based on your business needs by grouping existing products into one composite product.
14169e42-3c8c-4554-8143-b871d94ac741,Migrate products,Easily migrate products from an external system to quickly start taking orders and bring in revenue.
a7001477-6464-4bb0-9939-c8cbc0471b2f,Add categories,"Enter the appropriate category name; key in the SEO title, keywords, and description; upload a banner; enable the show in store and show in menu options, and associate your category with a base category."
5a1b7959-6f74-436a-bfc5-270b0ae40b7e,Create subcategories,"Using simple drag and drop, you can create a hierarchy of categories to classify your products and help your customers discover them quickly."
47ecf680-59a1-4757-b56b-96dce364ea37,Create collections,"You can manually add products to a collection or set up filter conditions based on product title, price, brand, and tags to automatically create one."
28ff6c78-1803-470c-8362-fa980b5ffe3e,Oversee shipping,Integrate with shipping carriers of your choice to streamline the shipping process. Define your shipping zones and display accurate delivery times to customers.
28526147-1735-4589-becc-c9df294425fc,Facilitate payments,Integrate with popular payment gateways to receive online payments and use AI to track payment patterns to identify fraudulent transactions.
cdafbc8c-423a-4de1-8693-873a02b61159,Handle taxes,"Sync your ecommerce store with Zoho Books to record all of your transactions. File taxes, prepare returns, automate tax calculations and monitor your accounting effortlessly."
3c2b1b3e-917b-4a98-9605-45e543cb6738,Member portal,"Maintain transparency with your ecommerce customers by providing them complete access to their order status, order details, shipping address, and more."
